GLCoat.dat  07/21/19   286PeachTree Accounting15  ???         
23500          FUTA Tax Payable                   L           
23600          State Payroll Taxes Payable        L           
23700          SUTA Payable                       L           
23800          Local Payroll Taxes Payable        L           
23900          Income Taxes Payable               L           
24000          Other Taxes Payable                L           
24100          Employee Benefits Payable          L           
24200          Current Portion Long-Term Debt     L           
24400          Customer Deposits                  L           
24800          Other Current Liabilities          L           
24900          Suspense-Clearing Account          L           
27000          Notes Payable-Noncurrent           L           
27050          Notes Payable-Related parties      L           
27060          Notes payable-Scott Tomsu dep.     L           
27075          Notes Payable - rental propert     L           
27100          Contracts Payable-Noncurrent       L           
27400          Other Long-Term Liabilities        L           
39002          Beginning Balance Equity           X           
39003          Common Stock                       X           
39004          Paid-in Capital                    X           
39005          Retained Earnings                  X           
39007          Dividends Paid                     X           
40000          Sales-Residential                  R           
40050          Sales-Remodel and Repair           R           
40200          Sales-Land                         R           
40400          Sales-Extras                       R           
40500          Sales-Rental Property              R           
40600          Rent Income                        R           
40601          Rent-4217 N Johnson st.            R           
40602          Rent-4219 N Johnson st.            R           
40800          Income on Installment Sales        R           
41000          Commissions Earned                 R           
41200          Interest Income                    R           
41400          Other Income                       R           
42000          Truck 27110                        R           
42100          Truck 27045                        R           
42200          Truck 28598                        R           
43000          Contractor Income                  R           
45400          Finance Charge Income              R           
45500          Shipping Charges Reimbursed        R           
48000          Sales Returns and Allowances       R           
49000          Sales Discounts                    R           
50000          Labor Costs                        E           
50500          Materials Costs                    E           
50505          Vinyl Siding                       E           
50510          Windows and Exterior Doors         E           
50515          Trim and Interior Doors            E           
50520          Brick                              E           
50700          Termite Spray                      E           
51000          Equipment Costs                    E           
51500          Subcontract Costs                  E           
51505          Subcontract Materials              E           
51510          Sheetrock finish                   E           
51515          Sheetrock Hang                     E           
51520          Painting                           E           
51600          Form and Pour Slab                 E           
52000          Carpentry Costs                    E           
52100          Waste Disposal                     E           
52150          Portable Toilet                    E           
52200          Electrical Costs                   E           
52400          Engineering Costs                  E           
52600          Fill Dirt & Gravel Costs           E           
52605          Roofing Material                   E           
52800          Flooring Costs                     E           
53000          Framing Costs                      E           
53050          Roofing Costs                      E           
53100          Appliances                         E           
53200          Heating & Air Conditioning Cos     E           
53205          Insurance - Builder's Risk         E           
53400          Landscaping Costs                  E           
53500          Lot Cost                           E           
53600          Masonry Costs                      E           
53700          Lot Cost                           E           
53800          Plumbing Materials                 E           
54000          Sheet Metal Costs                  E           
54200          Survey Costs                       E           
54400          Tiling Costs                       E           
54600          Trim Work Costs                    E           
54605          Utilities Systems                  E           
57000          Cost of Sales-Salaries and Wag     E           
57500          Cost of Sales-Freight              E           
58000          Cost of Sales-Other                E           
58500          Inventory Adjustments              E           
59000          Purchase Returns and Allowance     E           
59500          Purchase Discounts                 E           
59505          2-10 Warranty                      E           
59510          2-10 Builders Risk                 E           
59520          Bonding                            E           
59600          Closing Costs                      E           
59700          Realtor Commisions                 E           
59800          Apprasial                          E           
60000          Default Purchase Expense           E           
60100          Advertising Expense                E           
60500          Amortization Expense               E           
61000          Auto Expenses                      E           
61005          Auto - Fuel                        E           
61010          Airplane                           E           
61500          Bad Debt Expense                   E           
62000          Bank Charges                       E           
62500          Rental Property Loan Payment       E           
63000          Cleaning Expense                   E           
63500          Closing Fees                       E           
64000          Commissions Expense                E           
64500          Contributions Expense              E           
65000          Employee Benefit Programs Exp      E           
65500          Dues and Subscriptions Exp         E           
66000          Dental Expense                     E           
66500          Medical Expense                    E           
67000          Entertainment Expense              E           
67005          Finance charge                     E           
69500          Income Tax Expense                 E           
69600          Property Taxes                     E           
70000          Insurance Expense                  E           
70005          Insurance - General Liability      E           
70010          Insurance - Worker Comp            E           
70015          Insurance - Auto                   E           
70500          Interest Expense                   E           
71500          Legal and Accounting Expense       E           
72000          Payroll Tax Expense                E           
72500          Maintenance & Repairs Exp          E           
73500          Meals Expense                      E           
74000          Office Supplies Expense            E           
74500          Other Material Expense             E           
75000          Other Office Expenses              E           
75500          Other Subcontrators Exp            E           
76000          Licenses & Permits Exp             E           
77000          Salaries Expense                   E           
77500          Wages Expense                      E           
78000          Utilities Expense                  E           
78500          Roads & Curbs Expense              E           
79000          Depreciation Expense               E           
80000          Subdivision Costs Expense          E           
81000          Telephone Expense                  E           
81005          Cell Phone                         E           
82000          Training & Education Exp           E           
82500          Travel Expense                     E           
83000          Offshore Equipment Exp             E           
83500          Union Dues Paid Expense            E           
84000          Union Welfare Expense              E           
84500          Rentals-Office                     E           
85000          Rent-Equipment                     E           
85500          Water Mains Expense                E           
86000          Postage & Freight Exp              E           
87000          Rental Repairs                     E           
88000          Tools Expense                      E           
89000          Other Expense                      E           
89500          Purchase Disc-Expense Items        E           
90000          Gain/Loss on Sale of Assets        E           
